code,date_int,close
1410,20230503,
6431,20231101,30.8
8077,20231102,42.8
1225,20231103,29.65
1726,20231103,75.7
1726,20231108,75.7
8077,20231109,42.8
6431,20231113,30.8
8077,20231113,42.8
6431,20231114,30.8
1225,20231116,29.65
6144,20231120,20.35
1225,20231122,29.65
6144,20231124,20.35
1225,20231127,29.65
6144,20231127,20.35
6144,20231128,20.35
1225,20231204,29.65
6144,20231207,20.35
6144,20231208,20.35
6144,20231211,20.35
8077,20231211,42.8
6144,20231213,20.35
2424,20231218,37.7
6144,20231218,20.35
6144,20231221,20.35
8077,20231225,42.8
8077,20231226,42.8
8077,20231227,42.8
6144,20231228,20.35
8077,20231228,42.8
8077,20231229,42.8
6144,20240102,20.35
6144,20240103,20.35
1225,20240105,29.65
8077,20240105,42.8
6144,20240108,20.35
6144,20240109,20.35
1225,20240118,29.65
6144,20240119,20.35
8077,20240124,42.8
1225,20240125,29.65
1225,20240129,29.65
6144,20240215,20.35
6144,20240220,20.35
8077,20240223,42.8
8077,20240304,42.8
6225,20240307,17.5
8077,20240311,42.8
8077,20240312,42.8
6225,20240315,17.5
6225,20240329,17.5
6225,20240401,17.5
6225,20240423,17.5
6225,20240430,17.5
6225,20240507,17.5
6225,20240513,17.5
6225,20240524,17.5
8077,20240530,42.8
8077,20240531,42.8
8077,20240606,42.8
6225,20240607,17.5
8077,20240612,42.8
8077,20240613,42.8
8077,20240618,42.8
6225,20240619,17.5
8077,20240619,42.8
2424,20240620,37.7
8077,20240624,42.8
8077,20240625,42.8
8077,20240626,42.8
8077,20240628,42.8
6225,20240701,17.5
8077,20240711,42.8
8077,20240715,42.8
8077,20240716,42.8
8077,20240717,42.8
8077,20240718,42.8
8077,20240726,42.8
8077,20240729,42.8
2424,20240808,37.7
8077,20240815,42.8
8077,20240816,42.8
6225,20240827,17.5
2024,20240828,15.35
6225,20240828,17.5
8077,20240902,42.8
6225,20240903,17.5
8077,20240903,42.8
6225,20240905,17.5
8077,20240906,42.8
6225,20240909,17.5
8077,20240910,42.8
6225,20240911,17.5
8077,20240911,42.8
8077,20240912,42.8
6225,20240913,17.5
8077,20240916,42.8
6225,20240918,17.5
6225,20240919,17.5
6225,20240923,17.5
6225,20240924,17.5
8077,20240924,42.8
6225,20240925,17.5
8077,20240925,42.8
6225,20240926,17.5
8077,20240927,42.8
6225,20240930,17.5
6225,20241001,17.5
8077,20241001,42.8
8077,20241004,42.8
8077,20241007,42.8
6225,20241014,17.5
8077,20241014,42.8
2024,20241015,15.35
8077,20241016,42.8
8077,20241017,42.8
6225,20241018,17.5
6225,20241021,17.5
6225,20241023,17.5
6225,20241024,17.5
8077,20241024,42.8
6225,20241025,17.5
8077,20241025,42.8
6225,20241028,17.5
8077,20241029,42.8
8077,20241104,42.8
2024,20241105,15.35
8077,20241107,42.8
8077,20241111,42.8
6225,20241112,17.5
6225,20241114,17.5
8077,20241114,42.8
8077,20241115,42.8
8077,20241119,42.8
8077,20241127,42.8
6225,20241128,17.5
8077,20241128,42.8
2024,20241129,15.35
1225,20241204,29.65
6225,20241205,17.5
6201,20241209,55.6
8077,20241216,42.8
2424,20241217,37.7
8077,20241217,42.8
8077,20241219,42.8
6191,20241226,116.0
8077,20250103,42.8
8077,20250106,42.8
2424,20250115,37.7
2024,20250116,15.35
8077,20250116,42.8
8077,20250117,42.8
2424,20250120,37.7
6225,20250121,17.5
8077,20250121,42.8
8077,20250204,42.8
8077,20250205,42.8
8077,20250206,42.8
8077,20250207,42.8
8077,20250210,42.8
2424,20250211,37.7
3311,20250212,
2424,20250214,37.7
8077,20250221,42.8
8077,20250224,42.8
8077,20250226,42.8
6225,20250304,17.5
8077,20250304,42.8
8077,20250305,42.8
6225,20250310,17.5
8077,20250318,42.8
8077,20250319,42.8
8077,20250320,42.8
8077,20250321,42.8
8077,20250324,42.8
8077,20250325,42.8
6230,20250327,113.5
8077,20250327,42.8
8077,20250328,42.8
8077,20250331,42.8
8077,20250401,42.8
8077,20250402,42.8
8077,20250416,42.8
8077,20250418,42.8
2008,20250424,29.05
8077,20250428,42.8
2008,20250430,29.05
8077,20250505,42.8
8077,20250507,42.8
2102,20250513,19.75
8077,20250514,42.8
8080,20250514,28.5
2024,20250515,15.35
2115,20250522,24.75
2024,20250523,15.35
8077,20250523,42.8
8077,20250602,42.8
8077,20250603,42.8
8077,20250605,42.8
2024,20250606,15.35
2114,20250606,89.8
2012,20250609,14.95
8077,20250609,42.8
8077,20250611,42.8
8080,20250613,28.5
8077,20250616,42.8
8077,20250623,42.8
2008,20250625,29.05
8077,20250626,42.8
8077,20250627,42.8
1726,20250702,75.7
2024,20250702,15.35
8077,20250707,42.8
8077,20250708,42.8
8077,20250709,42.8
8080,20250709,28.5
8077,20250710,42.8
2024,20250711,15.35
8077,20250711,42.8
1410,20250714,35.0
2115,20250714,24.75
8077,20250715,42.8
8077,20250716,42.8
8077,20250718,42.8
8077,20250721,42.8
8080,20250721,28.5
8077,20250722,42.8
8080,20250722,28.5
8077,20250724,42.8
8077,20250725,42.8
8077,20250728,42.8
8080,20250728,28.5
8077,20250729,42.8
8077,20250730,42.8
8077,20250731,42.8
8077,20250801,42.8
8077,20250805,42.8
8077,20250807,42.8
8077,20250811,42.8
2424,20250812,37.7
8080,20250818,28.5
8080,20250819,28.5
8080,20250822,28.5
8080,20250825,28.5
8077,20250828,42.8
8077,20250902,42.8
8077,20250904,42.8
8077,20250905,42.8
2024,20250908,15.35
8077,20250908,42.8
8077,20250912,42.8
8077,20250915,42.8
8077,20250917,42.8
8077,20250919,42.8
2024,20250922,15.35
8077,20250923,42.8
8077,20250924,42.8
8077,20250925,42.8
8077,20250926,42.8
8077,20250930,42.8
8077,20251003,42.8
8077,20251007,42.8
2115,20251008,24.75
8077,20251009,42.8
8077,20251013,42.8
8077,20251014,42.8
8077,20251015,42.8
8077,20251017,42.8
8077,20251020,42.8
8077,20251023,42.8
8077,20251027,42.8
8077,20251028,42.8
8077,20251029,42.8
8077,20251030,42.8
8077,20251031,42.8
8077,20251103,42.8
2424,20251104,37.7
2941,20251104,47.25
2948,20251104,39.85
2073,20251105,26.6
2948,20251105,39.85
8080,20251105,28.5
2948,20251106,39.85
1726,20251107,75.7
2948,20251107,39.85
8077,20251107,42.8
2073,20251110,
2948,20251110,39.85
8077,20251110,42.8
2073,20251111,
2948,20251111,39.85
8077,20251111,42.8
2024,20251112,15.35
2073,20251112,
2941,20251112,
8077,20251112,42.8
2073,20251113,
2392,20251113,37.6
1410,20251114,
2073,20251114,
8077,20251114,42.8
2073,20251117,
2948,20251117,39.85
2024,20251118,15.35
2073,20251118,
2941,20251118,
6225,20251118,17.5
2073,20251119,
2941,20251119,
2948,20251119,39.85
2024,20251120,15.35
2941,20251120,
6225,20251120,17.5
2941,20251121,
2948,20251121,39.85
2941,20251124,
6225,20251124,17.5
2073,20251125,
2948,20251125,39.85
6225,20251125,17.5
8077,20251125,42.8
2073,20251126,
2941,20251126,
1410,20251127,33.0
2073,20251127,
6225,20251127,17.5
8077,20251127,42.8
2024,20251128,15.35
2073,20251128,
2948,20251128,39.85
8077,20251128,42.8
2073,20251201,
8077,20251201,42.8
2073,20251202,
2948,20251202,39.85
8077,20251202,42.8
2073,20251203,
2948,20251203,39.85
8077,20251203,42.8
2073,20251204,
2941,20251204,
8080,20251204,28.5
8077,20251205,42.8
2941,20251208,
2948,20251208,39.85
2024,20251209,15.35
2073,20251209,
2941,20251209,
2941,20251210,
8077,20251210,42.8
1726,20251211,75.7
2073,20251211,
2941,20251211,
8080,20251211,28.5
1259,20251212,61.1
2073,20251212,
2924,20251212,23.85
3285,20251212,28.7
3629,20251212,22.7
4192,20251212,25.85
4305,20251212,41.6
4609,20251212,6.37
4706,20251212,30.0
4804,20251212,7.51
4911,20251212,44.3
5455,20251212,27.5
5878,20251212,41.25
6198,20251212,28.1
6236,20251212,29.3
6512,20251212,20.6
6574,20251212,68.0
6662,20251212,31.0
6762,20251212,185.5
8077,20251212,42.8
8084,20251212,61.4
8921,20251212,17.1
8941,20251212,44.6
1259,20251215,61.1
2235,20251215,33.5
2924,20251215,23.85
2941,20251215,
2948,20251215,39.85
3426,20251215,40.5
4154,20251215,15.9
4183,20251215,17.0
4305,20251215,41.6
4568,20251215,42.05
4609,20251215,6.37
4767,20251215,26.7
5205,20251215,29.75
5455,20251215,27.5
5514,20251215,16.8
5703,20251215,15.0
6103,20251215,35.45
6236,20251215,29.3
6240,20251215,18.55
6512,20251215,20.6
6762,20251215,185.5
6904,20251215,118.5
7713,20251215,75.3
8455,20251215,20.5
8905,20251215,30.55
8921,20251215,17.1
8923,20251215,19.6
1796,20251216,
2035,20251216,
2073,20251216,
2724,20251216,
2924,20251216,
2941,20251216,
3064,20251216,
3426,20251216,
4584,20251216,
4609,20251216,
4706,20251216,
5310,20251216,
5703,20251216,
6103,20251216,
6236,20251216,
6855,20251216,
8921,20251216,
8923,20251216,
8941,20251216,
9960,20251216,
1410,20251217,
1538,20251217,25.29
2073,20251217,
2724,20251217,
2941,20251217,
2949,20251217,69.0
3115,20251217,10.32
4120,20251217,43.09
4192,20251217,25.2
4305,20251217,42.5
4584,20251217,46.59
4609,20251217,
4804,20251217,7.55
4807,20251217,17.84
6236,20251217,
6661,20251217,
6721,20251217,
6855,20251217,104.71
6856,20251217,
7713,20251217,72.0
8077,20251217,
8101,20251217,15.97
8921,20251217,
8928,20251217,
2073,20251218,27.4
2207,20251218,
2248,20251218,49.44
2941,20251218,
3115,20251218,10.45
4183,20251218,
4192,20251218,25.23
4305,20251218,
4556,20251218,23.56
4584,20251218,47.0
4609,20251218,
4754,20251218,39.01
5205,20251218,
5211,20251218,26.32
5601,20251218,
5703,20251218,15.0
5878,20251218,
5906,20251218,
6225,20251218,17.45
6236,20251218,
6512,20251218,20.99
6542,20251218,50.0
6597,20251218,59.57
6807,20251218,
6855,20251218,105.16
6955,20251218,
8067,20251218,13.4
8917,20251218,58.71
8921,20251218,
8923,20251218,21.0
8929,20251218,16.69
1259,20251219,61.67
2024,20251219,16.01
2321,20251219,16.38
2901,20251219,25.44
2924,20251219,
2941,20251219,
2948,20251219,
4154,20251219,15.55
4406,20251219,9.78
4747,20251219,59.64
5205,20251219,
5601,20251219,
5703,20251219,16.0
5906,20251219,47.0
6236,20251219,
6242,20251219,39.29
6671,20251219,
6887,20251219,
6904,20251219,116.0
8077,20251219,42.8
8342,20251219,85.87
8455,20251219,
8917,20251219,
8923,20251219,21.0
